agent_id,item_id,domain,subdomain,tier,n_reps,n_successes,s,y,total_prompt_tokens,total_completion_tokens,total_reasoning_tokens,total_latency_s,mean_latency_s,n_partial,n_fail,n_yes,n_no,n_null,n_empty_response,s_partial_weighted,grader_type
gemma-4-31b-it-free,SOC-IPR-4,SOC,IPR,4,4,4,1.0,2,1068,1289,0,39.025,7.805,0,0,0,0,1,0,1.0,
gemma-4-31b-it-free,CM-REC-1,CM,REC,1,4,4,1.0,2,388,45,0,4.789,0.958,0,0,0,0,1,0,1.0,
gemma-4-31b-it-free,SOC-COP-4,SOC,COP,4,3,3,1.0,2,729,249,0,9.788,1.958,0,0,0,0,2,0,1.0,
gemma-4-31b-it-free,AF-WMM-2,AF,WMM,1,3,3,1.0,2,315,198,0,7.943,1.589,0,0,0,0,2,0,1.0,
gemma-4-31b-it-free,AF-TOL-1,AF,TOL,1,4,4,1.0,2,308,112,0,6.6,1.32,0,0,0,0,1,0,1.0,
gemma-4-26b-a4b-it-free,DLS-DOM-2,DLS,DOM,2,4,4,1.0,2,184,229,0,7.75,1.55,0,0,0,0,1,0,1.0,
gemma-4-26b-a4b-it-free,CM-REC-1,CM,REC,1,5,5,1.0,2,485,55,0,7.108,1.422,0,0,0,0,0,0,1.0,
gemma-4-26b-a4b-it-free,CM-EXP-4,CM,EXP,4,3,0,0.0,0,582,1603,0,37.693,7.539,0,0,0,0,2,0,0.0,
gemma-4-26b-a4b-it-free,DLS-PER-3,DLS,PER,3,4,4,1.0,2,488,2550,0,58.767,11.753,0,0,0,0,1,0,1.0,
gemma-4-26b-a4b-it-free,CM-EXP-3,CM,EXP,1,5,5,1.0,2,255,157,0,16.301,3.26,0,0,0,0,0,0,1.0,
gemma-4-26b-a4b-it-free,SOC-IPR-4,SOC,IPR,4,4,4,1.0,2,1068,1797,0,46.16,9.232,0,0,0,0,1,0,1.0,
gemma-4-26b-a4b-it-free,DLS-PER-5,DLS,PER,5,3,3,1.0,2,732,2626,0,63.002,12.6,0,0,0,0,2,0,1.0,
gemma-4-26b-a4b-it-free,SOC-COP-4,SOC,COP,4,2,2,1.0,2,486,249,0,9.175,1.835,0,0,0,0,3,0,1.0,
gemma-4-26b-a4b-it-free,AF-WMM-2,AF,WMM,1,4,4,1.0,2,420,264,0,15.007,3.001,0,0,0,0,1,0,1.0,
gemma-4-26b-a4b-it-free,AF-AFD-6,AF,AFD,5,5,4,0.8,2,1580,3587,0,84.202,16.84,0,0,0,0,0,0,0.8,
gemma-4-26b-a4b-it-free,CM-REC-4,CM,REC,4,2,0,0.0,0,610,215,0,10.052,2.01,0,0,0,0,3,0,0.0,
gemma-4-26b-a4b-it-free,AF-TOL-1,AF,TOL,1,3,3,1.0,2,231,79,0,3.831,0.766,0,0,0,0,2,0,1.0,
gpt-5,AF-CTX-4,AF,CTX,3,5,5,1.0,2,1205,2232,1728,38.112,7.622,0,0,0,0,0,0,1.0,
gpt-5,DLS-PER-3,DLS,PER,3,5,5,1.0,2,605,10240,9728,273.732,54.746,0,0,0,0,0,0,1.0,
gpt-5,DLS-PER-5,DLS,PER,5,5,5,1.0,2,1175,10240,10240,357.426,71.485,0,0,0,0,0,0,1.0,
gpt-5,AF-AFD-5,AF,AFD,4,5,5,1.0,2,1355,10240,10240,379.738,75.948,0,0,0,0,0,0,1.0,
gpt-5,SOC-IPR-4,SOC,IPR,4,5,5,1.0,2,1280,8667,5632,136.546,27.309,0,0,0,0,0,0,1.0,
gpt-5,AF-AFD-6,AF,AFD,5,5,5,1.0,2,1575,10240,10240,368.707,73.741,0,0,0,0,0,0,1.0,
